package,component,description
geos,,"Geometry Engine - Open Source"
get_terminal_size,,"Get the size of the terminal window."
gevent,,"Coroutine-based network library"
gevent-websocket,,"Websocket handler for the gevent pywsgi server, a Python network library"
giflib,,"Library for reading and writing gif images"
git,,"distributed version control system"
gitpython,,"Python Git Library"
glib,,"Provides core application building blocks for libraries and applications written in C."
glob2,,"Version of the glob module that supports recursion via **, and can capture patterns."
glue-core,,"Multi-dimensional linked data exploration"
glue-vispy-viewers,,"3D viewers for Glue"
glueviz,,"Multi-dimensional linked data exploration"
gmp,,"The GNU multiprecision library."
gmpy2,,"GMP/MPIR, MPFR, and MPC interface to Python 2.6+ and 3.x"
graphite2,,"A `smart font` system that handles the complexities of lesser-known languages of the world."
graphviz,,"Open Source graph visualization software."
greenlet,,"Lightweight in-process concurrent programming"
gsl,,"GNU Scientific Library"
gst-plugins-base,,"GStreamer Base Plug-ins"
gstreamer,,"Library for constructing graphs of media-handling components 2"
gunicorn,,"WSGI HTTP Server for UNIX"
h2o,,"hadoop-centric machine learning (core java package)"
h5py,,"Read and write HDF5 files from Python."
harfbuzz,,"An OpenType text shaping engine."
hdf4,,"Library and multi-object file format for storing and managing data between machines."
hdf5,,"a data model, library, and file format for storing and managing data"
hdijupyterutils,,"Project with useful classes/methods for all projects created by the HDInsight team at Microsoft around Jupyter"
heapdict,,"A heap with decrease-key and increase-key operations"
holoviews,,"Stop plotting your data - annotate your data and let it visualize itself."
html5lib,,"HTML parser based on the WHATWG HTML specification"
humanize,,"Python humanize utilities"
hvplot,,"A high-level plotting API for the PyData ecosystem built on HoloViews"
hyperlink,,"Immutable, Pythonic, correct URLs."
hypothesis,,"A library for property based testing"
icu,,"International Components for Unicode."
idna,miniforge3,"Internationalized Domain Names in Applications (IDNA)."
imagecodecs,,"Image transformation, compression, and decompression codecs"
imageio,,"A Python library for reading and writing image data"
imagesize,,"Getting image size from png/jpeg/jpeg2000/gif file"
importlib-metadata,jupyterlab,"A library to access the metadata for a Python package"
incremental,,"A library that versions your Python projects"
iniconfig,,"brain-dead simple config-ini parsing"
intel-openmp,,"Math library for Intel and compatible processors"
intervaltree,,"Editable interval tree data structure for Python 2 and 3"
ipykernel,jupyterlab,"IPython Kernel for Jupyter"
ipyparallel,,"Interactive Parallel Computing with IPython"
ipython,jupyterlab,"Productive Interactive Computing"
ipython_genutils,jupyterlab,"vestigial utilities from IPython"
ipywidgets,,"Jupyter Interactive Widgets"
iso8601,,"Simple module to parse ISO 8601 dates"
isort,,"A Python utility / library to sort Python imports."
itsdangerous,,"Various helpers to pass trusted data to untrusted environments."
jasper,,"A reference implementation of the codec specified in the JPEG-2000 Part-1 standard."
jbig,matplotlib,"Implementation of the JBIG1 data compression standard"
jdcal,,"Julian dates from proleptic Gregorian and Julian calendars."
jedi,jupyterlab,"An autocompletion tool for Python that can be used for text editors."
jeepney,,"Pure Python DBus interface"
jinja2,jupyterlab,"An easy to use stand-alone template engine written in pure python."
joblib,,"Lightweight pipelining: using Python functions as pipeline jobs."
jpeg,matplotlib,"read/write jpeg COM, EXIF, IPTC medata"
json5,jupyterlab,"A Python implementation of the JSON5 data format"
jsonschema,jupyterlab,"An implementation of JSON Schema validation for Python"
jupyter,,"Jupyter metapackage. Install all the Jupyter components in one go."
jupyter-packaging,,"Jupyter Packaging Utilities"
jupyter_client,jupyterlab,"jupyter_client contains the reference implementation of the Jupyter protocol."
jupyter_console,,"Jupyter terminal console"
jupyter_core,jupyterlab,"Core common functionality of Jupyter projects."
jupyter_server,jupyterlab,"Jupyter Server"
jupyterlab,jupyterlab,"JupyterLab PRE-ALPHA"
jupyterlab_launcher,,"A Launcher for JupyterLab based applications."
jupyterlab_pygments,jupyterlab,"Pygments syntax coloring scheme making use of the JupyterLab CSS variables"
jupyterlab_server,jupyterlab,"A set of server components for JupyterLab and JupyterLab like applications."
jupyterlab_widgets,,"JupyterLab extension providing HTML widgets"
jxrlib,,"JPEG XR Library by Microsoft, built from Debian hosted sources."
kealib,,"The KEA format provides an implementation of the GDAL specification within the the HDF5 file format."
keras,,"Deep Learning Library for Theano and TensorFlow"
keras-gpu,,"Deep Learning Library for Theano and TensorFlow"
keyring,,"Store and access your passwords safely"
kiwisolver,matplotlib,"An efficient C++ implementation of the Cassowary constraint solver"
knit,,"Python interface YARN"
krb5,,"A network authentication protocol."
lazy-object-proxy,,"A fast and thorough lazy object proxy"
lcms2,matplotlib,"Open Source Color Management Engine"
ld_impl_linux-64,miniforge3,"A set of programming tools for creating and managing binary programs, object files, libraries, profile data, and assembly source code."
ldap3,,"A strictly RFC 4510 conforming LDAP V3 pure Python client library"
lerc,matplotlib,"Limited Error Raster Compression"
libaec,,"Adaptive Entropy Coding library"
libarchive,,"Multi-format archive and compression library"
libblas,pandas,"Linear Algebra PACKage"
libboost,,"Free peer-reviewed portable C++ source libraries."
libcblas,pandas,"Linear Algebra PACKage"
libcurl,,"tool and library for transferring data with URL syntax"
libdeflate,matplotlib,"a library for fast, whole-buffer DEFLATE-based compression and decompression."
libedit,,"Editline Library"
libev,,"A full-featured and high-performance event loop that is loosely modeled after libevent, but without its limitations and bugs."
libevent,,"An event notification library."
libffi,miniforge3,"A Portable Foreign Function Interface Library."
libgcc-ng,miniforge3,"The GCC low-level runtime library"
libgdal,,"The Geospatial Data Abstraction Library (GDAL)"
libgfortran-ng,pandas,"The GNU Fortran Runtime Library"
libgfortran5,pandas,"The GNU Fortran Runtime Library"
libgomp,miniforge3,"The GCC OpenMP implementation."
libgpuarray,,"Library to manipulate arrays on GPU"
libhdfs3,,"A Native C/C++ HDFS Client"
libiconv,,"Provides iconv for systems which don't have one (or that cannot convert from/to Unicode.)"
liblapack,pandas,"Linear Algebra PACKage"
liblief,,"A cross platform library to parse, modify and abstract ELF, PE and MachO formats."
libllvm10,,"Development headers and libraries for LLVM"
libllvm9,,"Development headers and libraries for LLVM"
libnetcdf,,"Libraries and data formats that support array-oriented scientific data."
libopenblas,pandas,"An Optimized BLAS library"
libopenblas-static,,"OpenBLAS static libraries."
libpng,matplotlib,"PNG reference library"
libprotobuf,,"Protocol Buffers - Google's data interchange format. C++ Libraries and protoc, the protobuf compiler."
libsodium,jupyterlab,"A modern and easy-to-use crypto library."
libspatialindex,,"Extensible framework for robust spatial indexing"
libssh2,,"the SSH library"
libstdcxx-ng,miniforge3,"The GNU C++ Runtime Library"
libtiff,matplotlib,"Support for the Tag Image File Format (TIFF)."
libtool,,"The GNU Portable Library Tool"
libuuid,,"Portable uuid C library."
libuv,,"Cross-platform asynchronous I/O"
libwebp,,"WebP image library"
libwebp-base,matplotlib,"WebP image library"
libxcb,,"This is the C-language Binding (XCB) package to the X Window System protocol"
libxgboost,,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more."
libxml2,,"The XML C parser and toolkit of Gnome"
libxslt,,"The XSLT C library developed for the GNOME project"
libzopfli,,"A compression library programmed in C to perform very good, but slow, deflate or zlib compression."
lighttpd,,"Light, fast web server"
llvmlite,,"A lightweight LLVM python binding for writing JIT compilers."
locket,,"File-based locks for Python for Linux and Windows"
lockfile,,"Platform-independent file locking module"
luigi,,"Workflow mgmgt + task scheduling + dependency resolution."
lxml,,"Pythonic binding for the C libraries libxml2 and libxslt."
lz4,,"LZ4 Bindings for Python"
lz4-c,matplotlib,"Extremely Fast Compression algorithm"
lzo,,"a portable lossless data compression library written in ANSI C."
m4,,"Implementation of the traditional Unix macro processor."
mako,,"A super-fast templating language that borrows the best ideas from the existing templating languages."
markdown,,"Python implementation of Markdown."
markdown2,,"fast and complete Python implementation of Markdown"
markupsafe,jupyterlab,"A Python module that implements the jinja2.Markup string"
matplotlib,matplotlib,"Publication quality figures in Python"
matplotlib-base,matplotlib,"Publication quality figures in Python"
matplotlib-inline,jupyterlab,"Inline Matplotlib backend for Jupyter"
mccabe,,"McCabe complexity checker for Python"
mdp,,"A Python data processing framework."
meld3,,"An HTML/XML templating engine-derived"
memory_profiler,,"A module for monitoring memory usage of a python program"
mistune,jupyterlab,"The fastest markdown parser in pure Python."
mkl,,"Math library for Intel and compatible processors"
mkl-devel,,"Metapackage of MKL headers and libraries for developing software that uses MKL"
mkl-include,,"MKL headers for developing software that uses MKL"
mkl-service,,"Python bindings to MKL service functions"
mkl_fft,,"NumPy-based implementation of Fast Fourier Transform using Intel (R) Math Kernel Library."
mkl_random,,"Intel (R) MKL-powered package for sampling from common probability distributions into NumPy arrays."
mock,,"A library for testing in Python"
mongodb,,"A next-gen database that lets you do things you could never do before"
more-itertools,,"More routines for operating on iterables, beyond itertools"
morfessor,,"Library for unsupervised and semi-supervised morphological segmentation"
mpc,,"A C library for the arithmetic of complex numbers with arbitrarily high precision."
mpfr,,"The MPFR library is a C library for multiple-precision floating-point computations with correct rounding."
mpir,,"Multiple Precision Integers and Rationals."
mpld3,,"D3 Viewer for Matplotlib."
mpmath,,"Python library for arbitrary-precision floating-point arithmetic"
msgpack-python,,"MessagePack (de)serializer"
multidict,,"multidict implementation"
multipledispatch,,"Multiple dispatch in Python"
munch,,"A dot-accessible dictionary (a la JavaScript objects)"
mypy,,"Optional static typing for Python"
mypy_extensions,,"Experimental type system extensions for programs checked with the mypy typechecker."
mysql,,"Open source relational database management system."
natsort,,"Sort lists naturally"
navigator-updater,,"Anaconda Navigator Updater - Continuum Analytics, Inc."
nbclassic,jupyterlab,"Jupyter Notebook as a Jupyter Server Extension."
nbclient,jupyterlab,"A client library for executing notebooks."
nbconvert,jupyterlab,"Converting Jupyter Notebooks"
nbformat,jupyterlab,"The Jupyter Notebook format"
ncurses,miniforge3,"Library for text-based user interfaces"
neo4j-python-driver,,"Database connector for Neo4j graph database"
neon,,"Nervana's Python-based Deep Learning framework"
nest-asyncio,jupyterlab,"Patch asyncio to allow nested event loops"
netcdf4,,"Provides an object-oriented python interface to the netCDF version 4 library."
networkx,,"Python package for creating and manipulating complex networks"
nginx,,"Nginx is an HTTP and reverse proxy server"
nltk,,"Natural Language Toolkit"
nodejs,,"a platform for easily building fast, scalable network applications"
nomkl,,"prevents mkl installation"
nose,,"Nose extends unittest to make testing easier"
nose-parameterized,,"Parameterized testing with any Python test framework."
notebook,jupyterlab,"Jupyter Notebook"
numba,,"NumPy aware dynamic Python compiler using LLVM"
numexpr,,"Fast numerical expression evaluator for NumPy."
numpy,pandas,"Array processing for numbers, strings, records, and objects."
numpy-base,,"Array processing for numbers, strings, records, and objects."
numpydoc,,"Numpy's Sphinx extensions"
olefile,matplotlib,"parse, read and write Microsoft OLE2 files"
openblas,,"An optimized BLAS library"
openblas-devel,,"OpenBLAS headers and libraries for developing software that used OpenBLAS."
openjdk,,"The JetBrains Runtime OpenJDK build."
openjpeg,matplotlib,"An open-source JPEG 2000 codec written in C"
openldap,,"OpenLDAP Software is an open source implementation of the Lightweight Directory Access Protocol."
openmpi,,"An open source Message Passing Interface implementation."
openpyxl,,"A Python library to read/write Excel 2010 xlsx/xlsm files"
openssl,miniforge3,"an open-source implementation of the SSL and TLS protocols"
opentracing,,"OpenTracing API for Python."
opentracing_instrumentation,,"Tracing Instrumentation using OpenTracing API"
packaging,jupyterlab,"Core utilities for Python packages"
pandas,pandas,"High-performance, easy-to-use data structures and data analysis tools."
pandas-datareader,,"Up to date remote data access for pandas, works for multiple versions of pandas-3"
pandas-profiling,,"Generate profile report for pandas DataFrame"
pandoc,,"Universal markup converter (repackaged binaries)"
pandocfilters,jupyterlab,"A python module for writing pandoc filters"
panel,,"A high-level app and dashboarding solution for Python"
pango,,"Text layout and rendering engine."
param,,"Make your Python code clearer and more reliable by declaring Parameters"
paramiko,,"SSH2 protocol library"
parsedatetime,,"Parse human-readable date/time text."
parsel,,"library to extract data from HTML and XML using XPath and CSS selectors"
parso,jupyterlab,"A Python Parser"
partd,,"Data structure for on-disk shuffle operations"
passlib,,"comprehensive password hashing framework supporting over 30 schemes"
patchelf,,"A small utility to modify the dynamic linker and RPATH of ELF executables."
path,,"A module wrapper for os.path"
path.py,,"A module wrapper for os.path"
pathlib,,"Object-oriented filesystem paths"
pathlib2,,"Fork of pathlib aiming to support the full stdlib Python API"
pathspec,,"Utility library for gitignore style pattern matching of file paths."
pathtools,,"Path utilities for Python."
patsy,,"Describing statistical models in Python using symbolic formulas, PSF2"
pcre,,"Regular expression pattern matching using the same syntax and semantics as Perl 5."
pep8,,"Python style guide checker"
perl,,"The Perl programming language interpreter."
petl,,"A Python package for extracting, transforming and loading tables of data."
pexpect,jupyterlab,"Pexpect makes Python a better tool for controlling other applications."
pickleshare,jupyterlab,"Tiny 'shelve'-like database with concurrency support"
pillow,matplotlib,"the friendly PIL fork by Alex Clark and Contributors"
pip,miniforge3,"PyPA recommended tool for installing Python packages"
pivottablejs,,"PivotTable.js integration for Jupyter/IPython Notebook License"
pixman,,"A low-level software library for pixel manipulation."
pkginfo,,"Query metadatdata from sdists / bdists / installed packages."
plac,,"The smartest command line arguments parser in the world"
plotly,,"An interactive, browser-based graphing library for Python"
pluggy,,"Plugin registration and hook calling for Python"
ply,,"Python Lex-Yacc"
pomegranate,,"Pomegranate is a graphical models library for Python, implemented in Cython for speed."
portaudio,,"A cross platform, open-source, audio I/O library"
portend,,"TCP port monitoring utilities"
portpicker,,"A library to choose unique available network ports."
posix_ipc,,"POSIX IPC for Python"
postgresql,,"PostgreSQL is a powerful, open source object-relational database system."
progress,,"Easy progress reporting for Python"
proj4,,"Cartographic projection software."
prometheus_client,jupyterlab,"Python client for the Prometheus monitoring system"
prompt-toolkit,jupyterlab,"Library for building powerful interactive command lines in Python"
protobuf,,"Protocol Buffers - Google's data interchange format."
psqlodbc,,"the official PostgreSQL ODBC Driver"
psutil,,"A cross-platform process and system utilities module for Python"
psycopg2,,"PostgreSQL database adapter for Python"
ptyprocess,jupyterlab,"Run a subprocess in a pseudo terminal"
py,,"library with cross-python path, ini-parsing, io, code, log facilities"
py-boost,,"Free peer-reviewed portable C++ source libraries."
py-lief,,"A cross platform library to parse, modify and abstract ELF, PE and MachO formats."
py-xgboost,,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more."
py4j,,"Enables Python programs to dynamically access arbitrary Java objects"
pyasn1,,"ASN.1 types and codecs"
pyasn1-modules,,"A collection of ASN.1-based protocols modules."
pycodestyle,,"Python style guide checker"
pycosat,miniforge3,"Bindings to picosat (a SAT solver)"
pycparser,miniforge3,"Complete C99 parser in pure Python"
pycrypto,,"Cryptographic modules for Python."
pycurl,,"A Python Interface To The cURL library"
pydocstyle,,"Python docstring style checker (formerly pep257)"
pydot,,"Python interface to Graphviz's Dot"
pydotplus,,"Python interface to Graphviz's Dot language"
pyemd,,"A Python wrapper for the Earth Mover's Distance."
pyerfa,,"Python bindings for ERFA routines"
pyflakes,,"Pyflakes analyzes programs and detects various errors."
pygments,jupyterlab,"a generic syntax highlighter suitable for use in code hosting, forums, wikis or other applications that need to prettify source code."
pyjwt,,"JSON Web Token implementation in Python"
pykerberos,,"high-level interface to Kerberos"
pylint,,"python code static checker"
pyls-black,,"Black plugin for the Python Language Server"
pyls-spyder,,"Spyder extensions for the python-language-server"
pymc3,,"Probabilistic Programming in Python"
pymongo,,"Python driver for MongoDB"
pympler,,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application."
pymysql,,"Pure Python MySQL Driver"
pyodbc,,"DB API Module for ODBC"
pyopengl,,"Standard OpenGL bindings for Python"
pyopenssl,miniforge3,"Python wrapper module around the OpenSSL library"
pyparsing,matplotlib,"Create and execute simple grammars"
pyprof2calltree,,"Help visualize profiling data from cProfile with qcachegrind"
pyproj,,"Python interface to PROJ library"
pyqt,,"Python binding of the cross-platform GUI toolkit Qt."
pyqtgraph,,"Scientific Graphics and GUI Library for Python"
pyquery,,"A jquery-like library for python"
pyrsistent,jupyterlab,"Persistent/Functional/Immutable data structures"
pysal,,"Library of spatial analysis functions"
pyserial,,"Python serial port access library"
pyshp,,"Pure Python read/write support for ESRI Shapefile format"
pysmi,,"SNMP SMI/MIB Parser"
pysnmp,,"SNMP library for Python"
pysocks,miniforge3,"A Python SOCKS client module."
pyspark,,"Apache Spark"
pystan,,"Python interface to Stan, a package for Bayesian inference"
pytables,,"Brings together Python, HDF5 and NumPy to easily handle large amounts of data."
pytest,,"Simple and powerful testing with Python."
pytest-arraydiff,,"pytest plugin to help with comparing array output from tests"
pytest-astropy,,"Meta-package containing dependencies for testing Astropy"
pytest-astropy-header,,"Pytest plugin to add diagnostic information to the header of the test output"
pytest-asyncio,,"Pytest support for asyncio"
pytest-cache,,"pytest plugin with mechanisms for caching across test runs"
pytest-cov,,"Pytest plugin for measuring coverage"
pytest-doctestplus,,"Pytest plugin with advanced doctest features"
pytest-mock,,"Thin-wrapper around the mock package for easier use with py.test"
pytest-openfiles,,"Pytest plugin for detecting inadvertent open file handles"
pytest-pep8,,"py.test plugin for efficiently checking PEP8 compliance"
pytest-remotedata,,"Pytest plugin for controlling remote data access"
pytest-runner,,"Invoke py.test as distutils command with dependency resolution."
pytest-timeout,,"This is a plugin which will terminate tests after a certain timeout."
pytest-xdist,,"py.test xdist plugin for distributed testing and loop-on-failing modes"
python,miniforge3,"General purpose programming language"
python_abi,miniforge3,"Metapackage to select python implementation"
python-daemon,,"Library to implement a well-behaved Unix daemon process."
python-dateutil,pandas,"Extensions to the standard Python datetime module."
python-editor,,"Programmatically open an editor, capture the result."
python-engineio,,"Engine.IO server"
python-graphviz,,"Simple Python interface for Graphviz"
python-jsonrpc-server,,"A Python 2.7 and 3.4+ server implementation of the JSON RPC 2.0 protocol."
python-language-server,,"An implementation of the Language Server Protocol for Python"
python-leveldb,,"Python bindings for leveldb database library"
python-libarchive-c,,"Python interface to libarchive"
python-lmdb,,"Universal Python binding for the LMDB 'Lightning' Database"
python-memcached,,"Pure python memcached client"
python-rapidjson,,"Python wrapper around rapidjson"
python-snappy,,"Python library for the snappy compression library from Google"
python-socketio,,"Socket.IO server"
python-utils,,"Python Utils is a collection of small Python functions and classes which make common patterns shorter and easier."
pytorch,,"PyTorch is an optimized tensor library for deep learning using GPUs and CPUs."
pytorch-gpu,,"Metapackage for the GPU PyTorch variant"
pytz,pandas,"World timezone definitions, modern and historical."
pywavelets,,"Discrete Wavelet Transforms in Python"
pywget,,"Pure Python download utility"
pyxdg,,"PyXDG contains implementations of freedesktop.org standards in python."
pyyaml,,"YAML parser and emitter for Python"
pyzmq,jupyterlab,"Python bindings for zeromq"
qcachegrind,,"A profiling data visualizer"
qdarkstyle,,"A dark stylesheet for Qt applications (Qt4, Qt5, PySide, PyQt4, PyQt5, QtPy, PyQtGraph)."
qgrid,,"Pandas DataFrame viewer for Jupyter Notebook"
qt,,"a cross-platform application and UI framework."
qtawesome,,"Iconic fonts in PyQt and PySide applications"
qtconsole,,"Jupyter Qt Console"
qtpy,,"Abtraction layer for PyQt5/PyQt4/PySide"
